state,date,total
TX,20200320,5277
TX,20200321,6522
TX,20200322,8756
TX,20200323,10055
TX,20200324,11167
TX,20200325,13494
UT,20200307,1
UT,20200308,1
UT,20200309,1
UT,20200310,2
UT,20200311,2
UT,20200312,135
UT,20200313,137
UT,20200314,137
UT,20200315,159
UT,20200316,170
UT,20200317,182
UT,20200318,194
UT,20200319,1526
UT,20200320,2147
UT,20200321,2560
UT,20200322,3689
UT,20200323,5047
UT,20200324,5823
UT,20200325,6837
VA,20200305,21
VA,20200306,31
VA,20200307,38
VA,20200308,44
VA,20200309,50
VA,20200310,61
VA,20200311,69
VA,20200312,134
VA,20200313,147
VA,20200314,147
VA,20200315,408
VA,20200316,489
VA,20200317,1028
VA,20200318,1278
VA,20200319,1923
VA,20200320,2325
VA,20200321,2790
VA,20200322,3337
VA,20200323,3697
VA,20200324,4470
VA,20200325,5370
VI,20200316,1
VI,20200317,2
VI,20200318,2
VI,20200319,3
VI,20200320,3
VI,20200321,6
VI,20200322,6
VI,20200323,17
VI,20200324,17
VI,20200325,74
VT,20200306,8
VT,20200307,16
VT,20200308,29
VT,20200309,35
VT,20200310,41
VT,20200311,63
VT,20200312,99
VT,20200313,144
VT,20200314,231
VT,20200315,352
VT,20200316,429
VT,20200317,505
VT,20200318,611
VT,20200319,667
VT,20200320,808
VT,20200321,808
VT,20200322,1158
VT,20200323,1181
VT,20200324,1535
VT,20200325,1712
WA,20200304,39
WA,20200305,70
WA,20200306,449
WA,20200307,538
WA,20200308,802
WA,20200309,1246
WA,20200310,1272
WA,20200311,2466
WA,20200312,3403
WA,20200313,4807
WA,20200314,6569
WA,20200315,7764
WA,20200316,10220
WA,20200317,12486
WA,20200318,14129
WA,20200319,17105
WA,20200320,20712
WA,20200321,23243
WA,20200322,27121
WA,20200323,30875
WA,20200324,33933
WA,20200325,34181
WI,20200304,26
WI,20200305,26
WI,20200306,44
WI,20200307,44
WI,20200308,44
WI,20200309,37
WI,20200310,38
WI,20200311,46
WI,20200312,92
WI,20200313,188
WI,20200314,188
WI,20200315,346
WI,20200316,551
WI,20200317,1110
WI,20200318,1683
WI,20200319,2347
WI,20200320,3661
WI,20200321,4909
WI,20200322,6615
WI,20200323,7466
WI,20200324,8694
WI,20200325,10674
WV,20200306,5
WV,20200307,5
WV,20200308,5
WV,20200309,5
WV,20200310,5
WV,20200311,5
WV,20200312,8
WV,20200313,21
WV,20200314,31
WV,20200315,39
WV,20200316,84
WV,20200317,84
WV,20200318,137
WV,20200319,148
WV,20200320,239
WV,20200321,343
WV,20200322,398
WV,20200323,464
WV,20200324,630
WV,20200325,804
WY,20200307,0
WY,20200308,0
WY,20200309,0
WY,20200310,0
WY,20200311,0
WY,20200312,1
WY,20200313,1
WY,20200314,2
WY,20200315,3
WY,20200316,3
WY,20200317,105
WY,20200318,193
WY,20200319,289
WY,20200320,350
WY,20200321,461
WY,20200322,462
WY,20200323,618
WY,20200324,739
WY,20200325,998
